"","interactive","little","big","tag"
"708","08.58.07.0",20,14,"0"
"709","08.58.07.1",20,14,"0"
"710","08.58.07.2",20,14,"0"
"711","08.58.07.3",20,14,"0"
"712","08.58.07.3",20,14,"0"
"713","08.58.07.4",20,14,"0"
"714","08.58.07.5",20,14,"0"
"715","08.58.07.6",20,14,"0"
"716","08.58.07.7",20,14,"0"
"717","08.58.07.7",20,14,"0"
"718","08.58.07.8",20,14,"0"
"719","08.58.07.9",20,14,"0"
"720","08.58.08.0",20,14,"0"
"721","08.58.08.1",20,14,"0"
"722","08.58.08.2",20,14,"0"
"723","08.58.08.2",20,14,"0"
"724","08.58.08.3",20,14,"0"
"725","08.58.08.4",20,14,"0"
"726","08.58.08.5",20,14,"0"
"727","08.58.08.6",20,14,"0"
"728","08.58.08.6",20,14,"0"
"729","08.58.08.7",20,14,"0"
"730","08.58.08.8",20,14,"0"
"731","08.58.08.9",20,14,"0"
"732","08.58.09.0",20,14,"0"
"733","08.58.09.0",20,14,"0"
